word,phonetic,meaning,example
abundant,/əˈbʌn.dənt/,풍부한,"Water is abundant in this region, even in summer."
acquire,/əˈkwaɪər/,획득하다,She worked hard to acquire fluency in English.
adequate,/ˈæd.ɪ.kwət/,충분한; 적절한,The room was small but adequate for one person.
ambiguous,/æmˈbɪɡ.ju.əs/,모호한,His answer was ambiguous and confused everyone.
anticipate,/ænˈtɪs.ɪ.peɪt/,예상하다,We anticipate strong demand for the new product.
arbitrary,/ˈɑːr.bɪ.trer.i/,임의의; 제멋대로의,The decision seemed arbitrary and unfair.
authentic,/ɔːˈθen.tɪk/,진짜의; 진품의,This is an authentic Italian restaurant.
benevolent,/bəˈnev.əl.ənt/,자애로운,"A benevolent king, he was loved by the people."
coherent,/koʊˈhɪr.ənt/,일관된; 논리정연한,She gave a clear and coherent explanation.
compelling,/kəmˈpel.ɪŋ/,설득력 있는,The lawyer made a compelling argument.
comprehensive,/ˌkɒm.prɪˈhen.sɪv/,포괄적인,The book gives a comprehensive overview of history.
conventional,/kənˈven.ʃən.əl/,관습적인; 전통적인,He prefers conventional methods over new ones.
deliberate,/dɪˈlɪb.ər.ət/,고의의; 신중한,Her silence was deliberate, not accidental.
diligent,/ˈdɪl.ɪ.dʒənt/,근면한,"She is a diligent student, always on time."
diminish,/dɪˈmɪn.ɪʃ/,줄어들다; 감소시키다,The pain began to diminish after a few days.
ephemeral,/ɪˈfem.ər.əl/,덧없는,Fame can be ephemeral.
explicit,/ɪkˈsplɪs.ɪt/,명백한; 분명한,The instructions were explicit and easy to follow.
feasible,/ˈfiː.zə.bəl/,실현 가능한,Is it feasible to finish the project by Friday?
inevitable,/ɪˈnev.ɪ.tə.bəl/,불가피한,Change is inevitable in any growing company.
intricate,/ˈɪn.trɪ.kət/,복잡한; 정교한,The watch has an intricate internal mechanism.
meticulous,/məˈtɪk.jə.ləs/,꼼꼼한,He is meticulous about every small detail.
nuance,/ˈnuː.ɑːns/,미묘한 차이,She caught every nuance of the conversation.
obstacle,/ˈɒb.stə.kəl/,장애물,Lack of funding was the biggest obstacle.
profound,/prəˈfaʊnd/,깊은; 심오한,The book had a profound effect on me.
resilient,/rɪˈzɪl.i.ənt/,회복력 있는,Children are often remarkably resilient.
scrutiny,/ˈskruː.tən.i/,면밀한 조사,The plan came under close scrutiny.
subtle,/ˈsʌt.əl/,미묘한; 미세한,There is a subtle difference between the two words.
tedious,/ˈtiː.di.əs/,지루한,Filling out forms can be a tedious task.
ubiquitous,/juːˈbɪk.wɪ.təs/,어디에나 있는,Smartphones are ubiquitous these days.
viable,/ˈvaɪ.ə.bəl/,실행 가능한,We need a viable alternative to this plan.
